station_id,lat,lon,alt,x,y
54638,38.25722,119.233055,40.0,239137.92089915715,-189725.27508220653
54639,38.550278,119.06555,50.0,223549.51714544365,-157650.89065850514
54642,38.95139,119.3325,40.0,245388.27445542158,-112457.4650946521
54646,38.443333,118.413055,30.3,166959.261941884,-170945.23843512763
A3176,38.933887,117.87778,0.0,119406.73105127605,-117376.66353286427
A3177,39.005,117.82528,0.5,114739.7614379335,-109555.43760662407
A3178,38.72889,117.62556,0.5,97836.41734890072,-140430.01059485594
B3777,39.044445,118.71306,1.6,191480.44376084398,-103653.96537937876
B3964,39.056667,118.465836,0.3,170063.6719125893,-102799.61228666599
B3966,38.933887,118.48055,2.0,171639.1258569308,-116392.38228346239
54398,40.133335,116.61667,28.6,9937.48242192308,14802.504930210904
54399,39.983334,116.28333,45.8,-18495.5376043383,-1826.8938365524277
54412,40.733334,116.63333,331.6,11256.891656948801,81391.78292855764
54416,40.383335,116.86667,71.8,31117.252267641186,42603.35185571027
54421,40.65,117.11667,293.3,52128.31144270769,72314.60942226333
54433,39.95,116.5,35.3,0.0,-5548.339859166044
54499,40.216667,116.21667,76.2,-24103.478637472454,24081.75823203446
54501,39.966667,115.683334,440.3,-69728.86118531783,-3379.3658448453884
54505,39.883335,116.15,85.5,-29920.479895857963,-12887.120731751942
54513,39.948612,116.208885,63.0,-24862.930795685195,-5661.752187986645
54514,39.866665,116.25,55.2,-21376.98741348126,-14765.68040353706
54594,39.72,116.3575,37.5,-12210.916664165037,-31060.45245199493
A0201,39.729443,116.89,11.0,33414.672935326795,-29949.273205533882
A0202,39.872776,116.67389,27.0,14867.664287123764,-14103.051758833517
A0203,39.895,116.72889,25.0,19563.843218292215,-11626.34042768048
A0204,39.91611,116.72389,30.0,19130.595708843568,-9284.949149259068
A0205,39.90167,116.705,30.0,17520.201991078877,-10891.173244215533
A0206,40.014168,116.61916,12.0,10167.252106453234,1578.983312151812
A0207,39.989445,116.75,21.0,21338.767339506718,-1141.3278201124747
A0208,39.931667,116.7625,20.0,22424.58772678509,-7549.656966751258
A0209,39.984165,116.70583,26.0,17569.994575885918,-1736.8739996644222
A0210,39.980556,116.65305,26.0,13065.298081064197,-2146.4246975862957
A0211,39.9625,116.6475,18.0,12594.832268974618,-4150.836175849861
A0212,39.796944,116.59194,24.0,7869.591350612819,-22528.165576524396
A0213,39.910557,116.65639,28.0,13364.051875481679,-9913.446671115633
A0214,39.615,116.79972,9.0,25722.346808537557,-42678.060943148535
A0215,39.61639,116.75528,8.0,21908.019721103705,-42535.6996103026
A0216,39.703335,116.82333,10.0,27713.015801523383,-32869.14410959409
A0217,39.919167,116.61916,28.0,10181.347770717348,-8962.950676972981
A0218,39.704723,116.72583,11.0,19355.801191201048,-32740.87590676408
A0219,39.887222,116.72417,18.0,19162.58403391237,-12490.452066219252
A0220,39.844166,116.714165,30.0,18318.816154860673,-17270.25180864103
A0221,39.77139,116.73278,25.0,19932.158819483626,-25341.766398398682
A0222,39.7725,116.673615,23.0,14865.828865617153,-25230.14796647652
A0301,39.603333,116.18278,22.0,-27228.820797707533,-43967.453179597265
A0302,39.70639,115.49778,492.0,-85896.08627413942,-32097.42645538642
A0303,39.703888,115.763336,507.0,-63139.29844431605,-32597.093145727875
A0304,39.77139,115.774445,582.0,-62126.1885560932,-25114.89641206796
A0305,39.635555,115.538055,185.0,-82529.26151236502,-39995.06304529191
A0306,39.666943,115.545,283.0,-81896.1215093387,-36518.77329480175
A0307,39.61639,115.58639,194.0,-78404.35082342643,-42165.18561217696
A0308,39.615276,115.6625,130.0,-71874.09152885489,-42352.963486286484
A0309,39.530277,115.73889,84.0,-65399.033629545105,-51843.10157203601
A0310,39.51472,115.79472,67.0,-60615.55811172006,-53608.75277594622
A0311,39.816387,116.22583,61.0,-23460.872246488372,-20338.65878664699
A0351,40.004723,116.0,175.0,-42667.85493869307,643.7936799486286
A0352,39.96583,116.04444,238.0,-38897.632561264014,-3692.320205167204
A0353,39.943054,116.0875,109.0,-35232.71431785618,-6237.570869145409
A0354,40.02,115.973335,350.0,-44933.28737865362,2352.121505277116
A0355,39.884445,116.0975,106.0,-34407.967053636836,-12745.002197519112
A0356,40.030277,115.855,305.0,-55020.817881505645,3558.8744216547207
A0357,40.14639,115.83417,693.0,-56701.39237205327,16456.53469164468
A0358,39.941113,116.10389,98.0,-33833.76788308138,-6459.305210790148
A0405,40.20639,115.8975,855.0,-51263.34753787899,23076.27188832839
A0451,40.435555,115.86639,476.0,-53729.46771810061,48525.602114015564
A0453,40.685276,116.45639,419.0,-3684.5512723196844,76050.34598814313
A0454,40.639168,116.4925,491.0,-634.0957840706639,70932.07387529785
A0455,40.502224,116.45194,745.0,-4071.481931764971,55734.61111771615
A0457,40.304165,115.94806,676.0,-46894.33805483149,33898.603928929
A0458,40.338333,116.037224,528.0,-39299.10430076111,37647.220020534434
A0459,40.5525,116.09361,544.0,-34402.43527238916,61391.68032680977
A0460,40.49861,116.391945,760.0,-9154.541528585267,55337.978068663055
A0461,40.73,116.22528,648.0,-23195.392051737334,81049.07276140228
A0462,40.435276,116.024445,513.0,-40326.88201140108,48411.23294153782
A0463,40.58917,116.24722,864.0,-21387.27530293281,65413.33925996061
A0464,40.550278,116.2425,644.0,-21799.096997202727,61098.13001642272
A0465,40.444168,116.09167,562.0,-34621.749400591645,49369.77634845698
A0466,40.363056,116.10111,523.0,-33861.6408376669,40364.62331595135
A0467,40.66722,116.29056,490.0,-17700.002925489138,74066.24807996549
A0468,40.69639,116.344444,462.0,-13140.561610290177,77294.4378189818
